model_name,window_size,n_entities_gt,n_frames,completeness,judge_overall,f1_pedestrians,f1_vehicles
mistral-medium,1,3,3,,,0.6778,0.1111
mistral-medium,1,4,4,,,0.84,0.5833
mistral-medium,1,5,3,,,0.7933,0.2593
mistral-medium,1,6,4,,,0.8717,0.6667
mistral-medium,1,7,5,,,0.816,0.5867
mistral-medium,1,8,5,,,0.812,0.5533
mistral-medium,1,9,4,,,0.735,0.6222
mistral-medium,1,10,3,,,0.833,0.237
mistral-medium,1,11,3,,,0.7644,0.5741
mistral-medium,1,12,4,,,0.8262,0.55
mistral-medium,1,13,3,,,0.7556,0.663
mistral-medium,1,14,1,,,0.7505,0.6111
mistral-medium,1,15,1,,,0.76,0.0
mistral-medium,1,17,1,,,0.6833,0.7111
mistral-medium,1,18,1,,,0.6833,0.7111
mistral-medium,1,19,1,,,0.681,0.7111
mistral-medium,1,20,2,,,0.6867,0.7111
mistral-medium,1,23,2,,,0.6867,0.3556
mistral-medium,1,25,2,,,0.5667,0.0
mistral-medium,1,26,2,,,0.6233,0.5778
mistral-medium,1,27,3,,,0.6811,0.2963
mistral-medium,1,28,3,,,0.6703,0.5185
mistral-medium,1,29,3,,,0.6367,0.237
mistral-medium,1,30,2,,,0.52,0.3333
mistral-medium,1,31,3,,,0.6648,0.4444
mistral-medium,1,32,3,,,0.6111,0.2778
mistral-medium,1,33,2,,,0.5883,0.4444
mistral-medium,1,34,3,,,0.594,0.7222
mistral-medium,1,35,2,,,0.5871,0.5
mistral-medium,1,36,3,,,0.6749,0.5556
mistral-medium,1,37,3,,,0.629,0.4444
mistral-medium,1,38,3,,,0.6337,0.4074
mistral-medium,1,39,2,,,0.6,0.4167
mistral-medium,1,40,2,,,0.615,0.1111
mistral-medium,1,43,2,,,0.5678,0.7222
mistral-medium,1,46,1,,,0.6222,0.6556
