model_name,window_size,n_entities_gt,n_frames,completeness,judge_overall,f1_pedestrians,f1_vehicles
gpt-4o-mini,1,1,2,,,0.6,0.0
gpt-4o-mini,1,2,4,,,0.3167,0.1667
gpt-4o-mini,1,3,3,,,0.6889,0.0
gpt-4o-mini,1,4,4,,,0.6117,0.75
gpt-4o-mini,1,5,3,,,0.5489,0.2593
gpt-4o-mini,1,6,4,,,0.7933,0.6528
gpt-4o-mini,1,7,5,,,0.4827,0.4222
gpt-4o-mini,1,8,5,,,0.6693,0.5644
gpt-4o-mini,1,9,4,,,0.745,0.4833
gpt-4o-mini,1,10,3,,,0.7133,0.237
gpt-4o-mini,1,11,3,,,0.7267,0.5556
gpt-4o-mini,1,12,4,,,0.7633,0.4417
gpt-4o-mini,1,13,3,,,0.6556,0.6074
gpt-4o-mini,1,14,1,,,0.6333,0.0
gpt-4o-mini,1,15,1,,,0.7171,0.0
gpt-4o-mini,1,17,1,,,0.6238,0.7111
gpt-4o-mini,1,18,1,,,0.6767,0.7111
gpt-4o-mini,1,19,1,,,0.6333,0.7111
gpt-4o-mini,1,20,2,,,0.6272,0.7111
gpt-4o-mini,1,23,2,,,0.6186,0.3333
gpt-4o-mini,1,25,2,,,0.5567,0.2222
gpt-4o-mini,1,26,2,,,0.6252,0.6111
gpt-4o-mini,1,27,3,,,0.6568,0.7037
gpt-4o-mini,1,28,3,,,0.5857,0.4815
gpt-4o-mini,1,29,3,,,0.6122,0.3852
gpt-4o-mini,1,30,2,,,0.5833,0.0
gpt-4o-mini,1,31,3,,,0.606,0.4444
gpt-4o-mini,1,32,3,,,0.599,0.3333
gpt-4o-mini,1,33,2,,,0.5786,0.4444
gpt-4o-mini,1,34,3,,,0.5781,0.7778
gpt-4o-mini,1,35,2,,,0.6657,0.5
gpt-4o-mini,1,36,3,,,0.5911,0.4444
gpt-4o-mini,1,37,3,,,0.5857,0.4815
gpt-4o-mini,1,38,3,,,0.5822,0.4259
gpt-4o-mini,1,39,2,,,0.6943,0.5
gpt-4o-mini,1,40,2,,,0.6471,0.1111
gpt-4o-mini,1,43,2,,,0.5519,0.7222
gpt-4o-mini,1,46,1,,,0.6,0.7111
gpt-5-mini,1,1,2,,,0.8,0.0
gpt-5-mini,1,2,4,,,0.7483,0.0833
gpt-5-mini,1,3,3,,,0.8333,0.0
gpt-5-mini,1,4,4,,,0.8583,0.8056
gpt-5-mini,1,5,3,,,0.8111,0.4815
gpt-5-mini,1,6,4,,,0.8617,0.5278
gpt-5-mini,1,7,5,,,0.8343,0.7667
gpt-5-mini,1,8,5,,,0.8153,0.8111
gpt-5-mini,1,9,4,,,0.8383,0.6667
gpt-5-mini,1,10,3,,,0.8438,0.5519
gpt-5-mini,1,11,3,,,0.7311,0.6852
gpt-5-mini,1,12,4,,,0.8569,0.5806
gpt-5-mini,1,13,3,,,0.739,0.6963
gpt-5-mini,1,14,1,,,0.8333,0.7111
gpt-5-mini,1,15,1,,,0.8444,0.6111
gpt-5-mini,1,17,1,,,0.7267,0.7111
gpt-5-mini,1,18,1,,,0.7267,0.7111
gpt-5-mini,1,19,1,,,0.8433,0.7111
gpt-5-mini,1,20,2,,,0.7411,0.7444
gpt-5-mini,1,23,2,,,0.6867,0.3889
gpt-5-mini,1,25,2,,,0.6638,0.8333
gpt-5-mini,1,26,2,,,0.7405,0.6111
gpt-5-mini,1,27,3,,,0.6762,0.8148
gpt-5-mini,1,28,3,,,0.697,0.7037
gpt-5-mini,1,29,3,,,0.6815,0.6852
gpt-5-mini,1,30,2,,,0.69,0.3333
gpt-5-mini,1,31,3,,,0.6797,0.4815
gpt-5-mini,1,32,3,,,0.6948,0.3333
gpt-5-mini,1,33,2,,,0.6971,0.7778
gpt-5-mini,1,34,3,,,0.6884,0.7778
gpt-5-mini,1,35,2,,,0.6783,0.5556
gpt-5-mini,1,36,3,,,0.7097,0.4444
gpt-5-mini,1,37,3,,,0.7298,0.463
gpt-5-mini,1,38,3,,,0.7338,0.463
gpt-5-mini,1,39,2,,,0.6943,0.5
gpt-5-mini,1,40,2,,,0.6905,0.4444
gpt-5-mini,1,43,2,,,0.6233,0.7444
gpt-5-mini,1,46,1,,,0.6333,0.7111
mistral-large,1,1,2,,,0.4,0.0
mistral-large,1,2,4,,,0.65,0.1667
mistral-large,1,3,3,,,0.6444,0.1111
mistral-large,1,4,4,,,0.44,0.6111
mistral-large,1,5,3,,,0.2333,0.4815
mistral-large,1,6,4,,,0.8133,0.5
mistral-large,1,7,5,,,0.6293,0.4444
mistral-large,1,8,5,,,0.7747,0.7889
mistral-large,1,9,4,,,0.785,0.5389
mistral-large,1,10,3,,,0.7556,0.4074
mistral-large,1,11,3,,,0.7349,0.6852
mistral-large,1,12,4,,,0.8167,0.5972
mistral-large,1,13,3,,,0.7622,0.6296
mistral-large,1,14,1,,,0.7171,0.6111
mistral-large,1,15,1,,,0.7743,0.6111
mistral-large,1,17,1,,,0.7333,0.7778
mistral-large,1,18,1,,,0.7133,0.7111
mistral-large,1,19,1,,,0.8076,0.7111
mistral-large,1,20,2,,,0.6344,0.6111
mistral-large,1,23,2,,,0.71,0.3056
mistral-large,1,25,2,,,0.6671,0.0
mistral-large,1,26,2,,,0.64,0.6889
mistral-large,1,27,3,,,0.6857,0.2963
mistral-large,1,28,3,,,0.7225,0.5185
mistral-large,1,29,3,,,0.6048,0.2037
mistral-large,1,30,2,,,0.57,0.3333
mistral-large,1,31,3,,,0.6689,0.1481
mistral-large,1,32,3,,,0.6825,0.2963
mistral-large,1,33,2,,,0.6883,0.4444
mistral-large,1,34,3,,,0.6384,0.6667
mistral-large,1,35,2,,,0.6324,0.3889
mistral-large,1,36,3,,,0.6622,0.4444
mistral-large,1,37,3,,,0.6622,0.3704
mistral-large,1,38,3,,,0.6581,0.3704
mistral-large,1,39,2,,,0.655,0.4444
mistral-large,1,40,2,,,0.6038,0.0
mistral-large,1,43,2,,,0.5583,0.6667
mistral-large,1,46,1,,,0.5667,0.6556
mistral-medium,1,1,2,,,0.6,0.0
mistral-medium,1,2,4,,,0.6917,0.1667
